; Sample Rate 8000
; Channels 2
               0   0.018086461816  0.018086461816 
        0.000125    0.11122911191   0.11122911191 
         0.00025    0.16868094122   0.16868094122 
        0.000375    0.20346518839   0.20346518839 
          0.0005    0.22268433496   0.22268433496 
        0.000625    0.22918305919   0.22918305919 
         0.00075    0.22240903368   0.22240903368 
        0.000875    0.20409448538   0.20409448538 
           0.001    0.16743656294   0.16743656294 
        0.001125    0.11413836712   0.11413836712 
         0.00125  0.00079395063221 0.00079395063221 
        0.001375   -0.11532756034  -0.11532756034 
          0.0015    -0.1662390409   -0.1662390409 
        0.001625   -0.20531041687  -0.20531041687 
         0.00175   -0.22116006492  -0.22116006492 
        0.001875   -0.23049046891  -0.23049046891 
           0.002   -0.22126995074  -0.22126995074 
        0.002125   -0.20509147504  -0.20509147504 
         0.00225   -0.16656514956  -0.16656514956 
        0.002375   -0.11489774752  -0.11489774752 
          0.0025  -0.00014129187912 -0.00014129187912 
        0.002625    0.11479606153   0.11479606153 
         0.00275    0.16668088548   0.16668088548 
        0.002875    0.20495492127   0.20495492127 
           0.003    0.22143492475   0.22143492475 
        0.003125    0.23028994817   0.23028994817 
         0.00325    0.22140286164   0.22140286164 
        0.003375    0.20501948753   0.20501948753 
          0.0035    0.16658267146   0.16658267146 
        0.003625    0.11493024696   0.11493024696 
         0.00375  -4.3041072786e-06 -4.3041072786e-06 
        0.003875   -0.11470557051  -0.11470557051 
           0.004   -0.16680051759  -0.16680051759 
        0.004125   -0.20481432974  -0.20481432974 
         0.00425   -0.22159013012  -0.22159013012 
        0.004375   -0.23012562422  -0.23012562422 
          0.0045   -0.22157125967  -0.22157125967 
        0.004625   -0.20485149883  -0.20485149883 
         0.00475   -0.16674631601  -0.16674631601 
        0.004875   -0.11477529397  -0.11477529397 
           0.005  -3.4329015762e-05 -3.4329015762e-05 
        0.005125    0.11484450381   0.11484450381 
         0.00525    0.16667552525   0.16667552525 
        0.005375    0.20492499322   0.20492499322 
          0.0055       0.22149425      0.22149425 
        0.005625    0.23020664742   0.23020664742 
         0.00575    0.22150486568   0.22150486568 
        0.005875    0.20490371529   0.20490371529 
           0.006    0.16670759255   0.16670759255 
        0.006125    0.11480113445   0.11480113445 
         0.00625  -9.2468690127e-05 -9.2468690127e-05 
        0.006375   -0.11483427836  -0.11483427836 
          0.0065   -0.16667545587  -0.16667545587 
        0.006625   -0.20493258676  -0.20493258676 
         0.00675   -0.22148067551  -0.22148067551 
        0.006875   -0.23022484733  -0.23022484733 
           0.007   -0.22148338938  -0.22148338938 
        0.007125   -0.20492716553  -0.20492716553 
         0.00725   -0.16668369574  -0.16668369574 
        0.007375    -0.1148225232   -0.1148225232 
          0.0075  0.00020144088194 0.00020144088194 
        0.007625    0.11479955539   0.11479955539 
         0.00775    0.16670544865   0.16670544865 
        0.007875    0.20490520028   0.20490520028 
           0.008    0.22150581283   0.22150581283 
        0.008125    0.23020168068   0.23020168068 
         0.00825    0.22150477581   0.22150477581 
        0.008375    0.20490721008   0.20490721008 
          0.0085    0.16670303605   0.16670303605 
        0.008625    0.11480054352   0.11480054352 
         0.00875  -0.00020141527057 -0.00020141527057 
        0.008875   -0.11479935003  -0.11479935003 
           0.009   -0.16670294711  -0.16670294711 
        0.009125   -0.20490772557  -0.20490772557 
         0.00925   -0.22150393715  -0.22150393715 
        0.009375   -0.23020271352  -0.23020271352 
